Starting Cosine-based Knowledge Transfer...
Successfully applied backbone weights for Image task.
Task 11 | Backbone 10 | Epoch 3/20 | Loss: 178.6794 | Accuracy: 0.4385
Task 11 | Backbone 10 | Epoch 4/20 | Loss: 178.5806 | Accuracy: 0.4444
Task 11 | Backbone 10 | Epoch 5/20 | Loss: 178.5387 | Accuracy: 0.4471
Task 11 | Backbone 10 | Epoch 6/20 | Loss: 177.9026 | Accuracy: 0.4416
Task 11 | Backbone 10 | Epoch 7/20 | Loss: 177.3368 | Accuracy: 0.4542
Task 11 | Backbone 10 | Epoch 8/20 | Loss: 177.2805 | Accuracy: 0.4518
Task 11 | Backbone 10 | Epoch 9/20 | Loss: 176.8585 | Accuracy: 0.4605
Task 11 | Backbone 10 | Epoch 10/20 | Loss: 176.8945 | Accuracy: 0.4545
Task 11 | Backbone 10 | Epoch 11/20 | Loss: 176.8252 | Accuracy: 0.4549
Task 11 | Backbone 10 | Epoch 12/20 | Loss: 176.5541 | Accuracy: 0.4547
Task 11 | Backbone 10 | Epoch 13/20 | Loss: 176.3498 | Accuracy: 0.4627
Task 11 | Backbone 10 | Epoch 14/20 | Loss: 176.5658 | Accuracy: 0.4604
Task 11 | Backbone 10 | Epoch 15/20 | Loss: 176.8273 | Accuracy: 0.4545
Task 11 | Backbone 10 | Epoch 16/20 | Loss: 176.3526 | Accuracy: 0.4587
Task 11 | Backbone 10 | Epoch 17/20 | Loss: 176.4393 | Accuracy: 0.4615
Task 11 | Backbone 10 | Epoch 18/20 | Loss: 176.2296 | Accuracy: 0.4584
Task 11 | Backbone 10 | Epoch 19/20 | Loss: 176.0505 | Accuracy: 0.4687
Task 11 | Backbone 10 | Epoch 20/20 | Loss: 176.3952 | Accuracy: 0.4665
Starting Euclidean-based Knowledge Transfer...
Successfully applied backbone weights for Image task.
Task 0 | Backbone 7 | Epoch 1/20 | Loss: 31.3329 | Accuracy: 0.9547
Task 0 | Backbone 7 | Epoch 2/20 | Loss: 22.3979 | Accuracy: 0.9693
Task 0 | Backbone 7 | Epoch 3/20 | Loss: 19.2693 | Accuracy: 0.9758
Task 0 | Backbone 7 | Epoch 4/20 | Loss: 17.3056 | Accuracy: 0.9789
Task 0 | Backbone 7 | Epoch 5/20 | Loss: 15.9235 | Accuracy: 0.9828
Task 0 | Backbone 7 | Epoch 6/20 | Loss: 14.8797 | Accuracy: 0.9846
Task 0 | Backbone 7 | Epoch 7/20 | Loss: 14.8129 | Accuracy: 0.9844
Task 0 | Backbone 7 | Epoch 8/20 | Loss: 14.1619 | Accuracy: 0.9876
Task 0 | Backbone 7 | Epoch 9/20 | Loss: 12.5155 | Accuracy: 0.9882
